mgi_symbol,hgnc_symbol
Fnta,FNTA
Gabrg3,GABRG3
Car10,CA10
Siglecg,SIGLEC10
Samd3,SAMD3
Atg9a,ATG9A
,THSD8
Pdcd1lg2,PDCD1LG2
Yipf5,YIPF5
Zfp322a,ZNF322
Cct4,CCT4
Plcd1,PLCD1
Ly96,LY96
Ash2l,ASH2L
Prpf39,PRPF39
Jph1,JPH1
Tspan14,TSPAN14
Pmm2,PMM2
Mmel1,MMEL1
Nsun7,NSUN7
Tmem70,TMEM70
Hdac9,HDAC9
Hbq1b,HBQ1
Itfg2,ITFG2
Ets1,ETS1
Uvssa,UVSSA
Hspb6,HSPB6
Lgals9,LGALS9B
Hbq1a,HBQ1
Zfp110,ZNF274
Spdya,SPDYA
Col12a1,COL12A1
Fkbp3,FKBP3
Tmsb15a,TMSB15B
Cngb3,CNGB3
Urgcp,URGCP
Fbxw13,FBXW12
Gatd1,GATD1
1810030O07Rik,CXorf38
Spink8,SPINK8
Acss1,ACSS1
Rb1cc1,RB1CC1
Fbxw25,FBXW12
Plp1,PLP1
Gml2,GML
Meox1,MEOX1
2310039H08Rik,C6orf226
Fabp4,FABP4
Hook2,HOOK2
Cyp11b2,CYP11B2
Cyp11b2,CYP11B1
Vsig1,VSIG1
Dcp1b,DCP1B
Zc3h8,ZC3H8
Astl,ASTL
Uck1,UCK1
Ank1,ANK1
Madd,MADD
Klhl32,KLHL32
Frs3,FRS3
Rbm24,RBM24
Rbck1,RBCK1
Fbxw21,FBXW12
Cyp11b1,CYP11B2
Cyp11b1,CYP11B1
Polr3a,POLR3A
Olfr1303,OR4F21
Nxn,NXN
Rab8b,RAB8B
Cthrc1,CTHRC1
Fbxw14,FBXW12
Sult2b1,SULT2B1
Prlhr,PRLHR
Trio,TRIO
Pex16,PEX16
Mis12,MIS12
Msi2,MSI2
Adam19,ADAM19
Tcp1,TCP1
Mrgprb1,MRGPRX2
Krt16,KRT16
Rnf170,RNF170
Hs3st6,HS3ST6
Uba1,UBA1
Rassf8,RASSF8
Fbxw19,FBXW12
Bnc2,BNC2
Ppp1cb,PPP1CB
Naa16,NAA16
Pakap,PALM2-AKAP2
Pakap,AKAP2
Ckap5,CKAP5
Gin1,GIN1
Ss18l1,SS18L1
Ddx23,DDX23
Slc17a1,SLC17A1
Zfr2,ZFR2
Ilvbl,ILVBL
D6Wsu163e,C12orf4
Tcf7,TCF7
